Date_SingleModel,Home_SingleModel,Away_SingleModel,ActualWinner_SingleModel,PredictedWinner_SingleModel,ActualSpread_SingleModel,PredictedSpread_SingleModel,SpreadError_SingleModel,Correct_SingleModel,HomePoints_SingleModel,AwayPoints_SingleModel,PredictedHomePoints_SingleModel,PredictedAwayPoints_SingleModel,Date_monthBatchRetrain,Home_monthBatchRetrain,Away_monthBatchRetrain,ActualWinner_monthBatchRetrain,PredictedWinner_monthBatchRetrain,ActualSpread_monthBatchRetrain,PredictedSpread_monthBatchRetrain,SpreadError_monthBatchRetrain,Correct_monthBatchRetrain,HomePoints_monthBatchRetrain,AwayPoints_monthBatchRetrain,PredictedHomePoints_monthBatchRetrain,PredictedAwayPoints_monthBatchRetrain
2024-11-16,Sacramento Kings,Utah Jazz,Sacramento Kings,Sacramento Kings,4.0,2.5,1.5,True,121.0,117.0,120.7,118.2,2024-11-24,Philadelphia 76ers,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,26.0,5.3,20.7,True,99.0,125.0,102.1,107.4
2024-11-17,Chicago Bulls,Houston Rockets,Houston Rockets,Houston Rockets,36.0,19.2,16.8,True,107.0,143.0,113.0,132.2,2024-11-24,Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers,Cleveland Cavaliers,14.0,12.9,1.0999999999999996,True,122.0,108.0,122.7,109.7
2024-11-17,Los Angeles Clippers,Utah Jazz,Los Angeles Clippers,Los Angeles Clippers,11.0,13.0,2.0,True,116.0,105.0,118.2,105.3,2024-11-24,Sacramento Kings,Brooklyn Nets,Brooklyn Nets,Sacramento Kings,5.0,0.8,4.2,False,103.0,108.0,111.4,110.6
2024-11-17,Oklahoma City Thunder,Dallas Mavericks,Dallas Mavericks,Oklahoma City Thunder,2.0,2.4,0.3999999999999999,False,119.0,121.0,120.6,118.1,2024-11-25,Sacramento Kings,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,21.0,3.1,17.9,True,109.0,130.0,109.2,112.4
2024-11-17,New York Knicks,Brooklyn Nets,New York Knicks,New York Knicks,10.0,3.8,6.2,True,114.0,104.0,119.1,115.3,2024-11-25,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,Brooklyn Nets,8.0,4.1,3.9000000000000004,True,120.0,128.0,111.5,115.6
2024-11-17,Washington Wizards,Detroit Pistons,Detroit Pistons,Detroit Pistons,20.0,19.1,0.8999999999999986,True,104.0,124.0,101.4,120.5,2024-11-25,Denver Nuggets,New York Knicks,New York Knicks,New York Knicks,27.0,4.9,22.1,True,118.0,145.0,116.8,121.6
2024-11-17,Cleveland Cavaliers,Charlotte Hornets,Cleveland Cavaliers,Cleveland Cavaliers,14.0,11.6,2.4000000000000004,True,128.0,114.0,121.6,110.0,2024-11-25,Memphis Grizzlies,Portland Trail Blazers,Memphis Grizzlies,Memphis Grizzlies,25.0,13.2,11.8,True,123.0,98.0,116.1,102.9
2024-11-17,Memphis Grizzlies,Denver Nuggets,Memphis Grizzlies,Memphis Grizzlies,15.0,7.4,7.6,True,105.0,90.0,110.1,102.7,2024-11-25,Charlotte Hornets,Orlando Magic,Orlando Magic,Charlotte Hornets,11.0,0.9,10.1,False,84.0,95.0,107.7,106.8
2024-11-17,Portland Trail Blazers,Atlanta Hawks,Portland Trail Blazers,Portland Trail Blazers,4.0,0.1,3.9,True,114.0,110.0,114.2,114.0,2024-11-25,Atlanta Hawks,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,10.0,2.9,7.1,True,119.0,129.0,114.8,117.7
2024-11-17,Indiana Pacers,Miami Heat,Indiana Pacers,Miami Heat,9.0,2.7,6.3,False,119.0,110.0,116.5,119.2,2024-11-25,Indiana Pacers,New Orleans Pelicans,Indiana Pacers,Indiana Pacers,4.0,14.6,10.6,True,114.0,110.0,121.6,107.0
